,Product Name,Prices,Ratings
0,"APPLE iPhone 11 (Black, 64 GB)","₹40,990",4.6
1,"APPLE iPhone 11 (White, 64 GB)","₹40,990",4.6
2,"APPLE iPhone 11 (White, 128 GB)","₹45,990",4.6
3,"APPLE iPhone 13 (Midnight, 128 GB)","₹65,999",4.7
4,"APPLE iPhone 13 (Blue, 128 GB)","₹65,999",4.7
5,"APPLE iPhone 11 (Black, 128 GB)","₹45,990",4.6
6,"APPLE iPhone 13 (Green, 128 GB)","₹65,999",4.7
7,"APPLE iPhone 11 (Green, 64 GB)","₹40,990",4.6
8,"APPLE iPhone 11 (Purple, 64 GB)","₹40,990",4.6
9,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A,"₹87,990",4.7
10,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹87,990",4.7
11,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A,"₹87,990",4.7
12,"Apple 20W ,USB-C Power Charging Adapter for iPhone, iPad & AirPods","₹1,799",4.6
13,"APPLE iPhone 13 (Starlight, 128 GB)","₹65,999",4.7
14,"APPLE iPhone 13 (Pink, 128 GB)","₹65,999",4.7
15,"APPLE iPhone 11 (Purple, 128 GB)","₹45,990",4.6
16,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹65,999",4.7
17,"APPLE iPhone 12 Mini (Black, 128 GB)","₹48,999",4.5
18,"APPLE iPhone 12 Mini (White, 64 GB)","₹43,999",4.5
19,"APPLE iPhone 12 Mini (Blue, 64 GB)","₹43,999",4.5
20,"APPLE iPhone 12 Mini (Black, 64 GB)","₹43,999",4.5
21,"APPLE iPhone 12 Mini (White, 128 GB)","₹48,999",4.5
22,APPLE MacBook Air M1 - (16 GB/256 GB SSD/Mac OS Big Sur) Z124J001KD,"₹1,04,990",4.7
23,APPLE MacBook Air M1 - (16 GB/512 GB SSD/Mac OS Big Sur) Z124J002KD,"₹1,24,990",4.7
